PDB_ID,Panther_Protein_Class,Panther_Code
2F27,hydrolase,PC00121
2J51,non-receptor serine/threonine protein kinase,PC00167
3NPC,non-receptor serine/threonine protein kinase,PC00167
5VCX,non-receptor serine/threonine protein kinase,PC00167
1TRN,serine protease,PC00203
7DQU,DNA topoisomerase,PC00017
6BC9,dehydratase,PC00091
4EY7,esterase,PC00097
1L7X,glycosyltransferase,PC00111
1U59,non-receptor tyrosine protein kinase,PC00168
4ALB,decarboxylase,PC00089
2BY0,amylase,PC00048
1O33,serine protease,PC00203
1R74,methyltransferase,PC00155
1O2X,serine protease,PC00203
3QYZ,non-receptor serine/threonine protein kinase,PC00167
1QWT,winged helix/forkhead transcription factor,PC00246
1N6O,small GTPase,PC00208
3K5V,non-receptor tyrosine protein kinase,PC00168
1CDD,transferase,PC00220
1C80,carbohydrate phosphatase,PC00066
2PF8,reductase,PC00198
1DK4,phosphatase,PC00181
2W26,serine protease,PC00203
1HPM,Hsp70 family chaperone,PC00027
5Z4H,DNA topoisomerase,PC00017
2GD8,dehydratase,PC00091
1C5U,serine protease,PC00203
1WBT,non-receptor serine/threonine protein kinase,PC00167
1DI8,non-receptor serine/threonine protein kinase,PC00167
1Q4L,non-receptor serine/threonine protein kinase,PC00167
2CNH,protein phosphatase,PC00195
1RTF,serine protease,PC00203
1BPI,protease inhibitor,PC00191
1HWY,dehydrogenase,PC00092
1GRF,reductase,PC00198
5C8I,dehydratase,PC00091
2WEK,oxidoreductase,PC00176
4X0F,phosphodiesterase,PC00185
3PO7,oxidase,PC00175
1L8S,phospholipase,PC00186
2H4K,protein phosphatase,PC00195
1ZSW,oxygenase,PC00177
4NR0,reductase,PC00198
2CJI,serine protease,PC00203
2HD6,dehydratase,PC00091
3SLH,transferase,PC00220
1B4S,kinase,PC00137
2PD3,reductase,PC00198
2FS9,serine protease,PC00203
1QUI,ATP-binding cassette (ABC) transporter,PC00003
3BZU,dehydrogenase,PC00092
7ERK,hydrolase,PC00121
1B8O,nucleotide kinase,PC00172
2I3Z,serine protease,PC00203
5MO0,serine protease,PC00203
5JAX,non-receptor serine/threonine protein kinase,PC00167
5LAB,metalloprotease,PC00153
2QNY,acetyltransferase,PC00038
1XBB,non-receptor tyrosine protein kinase,PC00168
5AV3,non-receptor serine/threonine protein kinase,PC00167
5VOF,serine protease,PC00203
1O2P,serine protease,PC00203
2AW1,dehydratase,PC00091
1I9M,dehydratase,PC00091
1E47,aldolase,PC00044
1JCM,isomerase,PC00135
1L5N,nucleotidyltransferase,PC00174
4UHX,oxidoreductase,PC00176
6RG8,nucleotide kinase,PC00172
1O37,serine protease,PC00203
1G48,dehydratase,PC00091
3V8R,nucleotide kinase,PC00172
1N7J,methyltransferase,PC00155
1GFW,protease,PC00190
2CMB,protein phosphatase,PC00195
1G4J,dehydratase,PC00091
2Y6O,transmembrane signal receptor,PC00197
1Q41,non-receptor serine/threonine protein kinase,PC00167
1XML,hydrolase,PC00121
1E9G,pyrophosphatase,PC00196
6JOL,transmembrane signal receptor,PC00197
2HOC,dehydratase,PC00091
1GS4,C4 zinc finger nuclear receptor,PC00169
1GRC,transferase,PC00220
4HKN,kinase inhibitor,PC00139
1TV9,DNA-directed DNA polymerase,PC00018
5YIZ,ubiquitin-protein ligase,PC00234
5NUN,transfer/carrier protein,PC00219
6XCY,aspartic protease,PC00053
4XLI,non-receptor tyrosine protein kinase,PC00168
3PDB,transaminase,PC00216
1ONY,protein phosphatase,PC00195
1F2F,non-receptor tyrosine protein kinase,PC00168
5MYG,zinc finger transcription factor,PC00244
6QWV,scaffold/adaptor protein,PC00226
2ZNU,transmembrane signal receptor,PC00197
4K0S,dehydratase,PC00091
1KA1,phosphatase,PC00181
4LMU,non-receptor serine/threonine protein kinase,PC00167
1UWV,RNA methyltransferase,PC00033
1IMD,phosphatase,PC00181
2FGI,transmembrane signal receptor,PC00197
1DVX,hydrolase,PC00121
1FWS,aldolase,PC00044
4F9W,non-receptor serine/threonine protein kinase,PC00167
1QF4,ligase,PC00142
1O3C,serine protease,PC00203
