PDB_ID,Panther_Protein_Class,Panther_Code
2G00,serine protease,PC00203
1I91,dehydratase,PC00091
2G8N,methyltransferase,PC00155
1S3B,oxidase,PC00175
1I9N,dehydratase,PC00091
1XPZ,dehydratase,PC00091
2NPD,transporter,PC00227
2H4N,dehydratase,PC00091
3CFQ,hydrolase,PC00121
2BIL,non-receptor serine/threonine protein kinase,PC00167
6M8B,kinase,PC00137
1PQP,dehydrogenase,PC00092
6HD4,non-receptor tyrosine protein kinase,PC00168
4BZE,epimerase/racemase,PC00096
1H5Y,lyase,PC00144
4FAI,transferase,PC00220
1WCH,protein phosphatase,PC00195
1Z6E,serine protease,PC00203
3G4K,phosphodiesterase,PC00185
1O2U,serine protease,PC00203
1O2Y,serine protease,PC00203
6DWN,oxygenase,PC00177
1M17,transmembrane signal receptor,PC00197
1JK7,protein phosphatase,PC00195
1BNU,dehydratase,PC00091
3PB9,transferase,PC00220
6O52,esterase,PC00097
1MXC,nucleotidyltransferase,PC00174
2POW,dehydratase,PC00091
6NG0,non-receptor serine/threonine protein kinase,PC00167
3FZS,non-receptor tyrosine protein kinase,PC00168
1U1D,nucleotide kinase,PC00172
3UBA,peroxidase,PC00180
4IXU,hydrolase,PC00121
5JIX,non-receptor serine/threonine protein kinase,PC00167
2G71,methyltransferase,PC00155
2B1P,non-receptor serine/threonine protein kinase,PC00167
1NVR,non-receptor serine/threonine protein kinase,PC00167
2J34,serine protease,PC00203
5KNJ,non-receptor serine/threonine protein kinase,PC00167
1WE1,oxygenase,PC00177
1CWS,protein phosphatase,PC00195
6X83,intercellular signal molecule,PC00207
1Q3A,metalloprotease,PC00153
7DQL,DNA topoisomerase,PC00017
3PYY,non-receptor tyrosine protein kinase,PC00168
1Y6A,transmembrane signal receptor,PC00197
1DDU,methyltransferase,PC00155
3PJE,reductase,PC00198
1ZS0,metalloprotease,PC00153
1RHU,protease,PC00190
4ZBQ,transfer/carrier protein,PC00219
1EZQ,serine protease,PC00203
6K0K,kinase,PC00137
3HXV,aminoacyl-tRNA synthetase,PC00047
1RX8,reductase,PC00198
1XX4,hydratase,PC00120
2H42,phosphodiesterase,PC00185
4NDF,damaged DNA-binding protein,PC00086
1O2R,serine protease,PC00203
5PH6,histone modifying enzyme,PC00261
1GJ7,serine protease,PC00203
3BBT,transmembrane signal receptor,PC00197
2C75,oxidase,PC00175
2PFH,reductase,PC00198
1Y8Y,non-receptor serine/threonine protein kinase,PC00167
2BY9,serine protease,PC00203
3L5U,decarboxylase,PC00089
6YMA,dehydratase,PC00091
1U3U,dehydrogenase,PC00092
1O4C,non-receptor tyrosine protein kinase,PC00168
1IEM,hydrolase,PC00121
1FWN,aldolase,PC00044
4ZND,transferase,PC00220
3EQF,non-receptor serine/threonine protein kinase,PC00167
3PY0,non-receptor serine/threonine protein kinase,PC00167
1R0P,transmembrane signal receptor,PC00197
1O5E,serine protease,PC00203
1TO3,aldolase,PC00044
1QUK,ATP-binding cassette (ABC) transporter,PC00003
1Q11,translational protein,PC00263
1D8A,reductase,PC00198
4CUS,"chromatin/chromatin-binding, or -regulatory protein",PC00077
1WBV,non-receptor serine/threonine protein kinase,PC00167
1RKS,carbohydrate kinase,PC00065
1G4O,dehydratase,PC00091
7DOR,DNA topoisomerase,PC00017
1FSW,hydrolase,PC00121
1OIX,small GTPase,PC00208
1IGS,isomerase,PC00135
1F0T,serine protease,PC00203
1NRW,protein phosphatase,PC00195
1L8O,phosphatase,PC00181
4JLC,non-receptor serine/threonine protein kinase,PC00167
3OEZ,non-receptor tyrosine protein kinase,PC00168
7PNJ,endoribonuclease,PC00094
1C5T,serine protease,PC00203
1EW8,phosphatase,PC00181
3HKU,dehydratase,PC00091
1RXC,nucleotide kinase,PC00172
1EW2,phosphatase,PC00181
6ZG1,scaffold/adaptor protein,PC00226
1PI4,hydrolase,PC00121
1NFU,serine protease,PC00203
1PF8,non-receptor serine/threonine protein kinase,PC00167
3FW3,dehydratase,PC00091
5MNG,serine protease,PC00203
2NOS,oxidoreductase,PC00176
