PDB_ID,Panther_Protein_Class,Panther_Code
5JIZ,non-receptor serine/threonine protein kinase,PC00167
1ALH,phosphatase,PC00181
1X70,serine protease,PC00203
1LPG,serine protease,PC00203
5WIN,non-receptor tyrosine protein kinase,PC00168
5G65,protein modifying enzyme,PC00260
1KP2,ligase,PC00142
3V2J,dehydratase,PC00091
1G2O,nucleotide kinase,PC00172
1WV4,oxidase,PC00175
5OBR,non-receptor serine/threonine protein kinase,PC00167
1BNN,dehydratase,PC00091
1OJR,aldolase,PC00044
6IJD,glycosyltransferase,PC00111
5WNM,non-receptor serine/threonine protein kinase,PC00167
1DNL,oxidase,PC00175
2J4I,serine protease,PC00203
4ANE,kinase,PC00137
1LX6,reductase,PC00198
2OHK,protease,PC00190
7DQS,DNA topoisomerase,PC00017
4M2U,dehydratase,PC00091
1X07,acyltransferase,PC00042
4QYA,hydrolase,PC00121
4EWQ,non-receptor serine/threonine protein kinase,PC00167
4JVG,non-receptor serine/threonine protein kinase,PC00167
1O3E,serine protease,PC00203
1G45,dehydratase,PC00091
5J0A,non-receptor serine/threonine protein kinase,PC00167
1SSC,endoribonuclease,PC00094
1KMN,aminoacyl-tRNA synthetase,PC00047
1RX3,reductase,PC00198
1W7H,non-receptor serine/threonine protein kinase,PC00167
1RJE,methyltransferase,PC00155
1C5S,serine protease,PC00203
1XF0,reductase,PC00198
3VS3,non-receptor tyrosine protein kinase,PC00168
1JIZ,metalloprotease,PC00153
4DPE,metalloprotease,PC00153
3V2M,dehydratase,PC00091
6NFY,non-receptor serine/threonine protein kinase,PC00167
1B8N,nucleotide kinase,PC00172
1VQV,kinase,PC00137
4N7I,immunoglobulin receptor superfamily,PC00124
1URA,phosphatase,PC00181
2EWA,non-receptor serine/threonine protein kinase,PC00167
2H4G,protein phosphatase,PC00195
6TC2,growth factor,PC00112
4MHZ,transferase,PC00220
1RX2,reductase,PC00198
2BY7,serine protease,PC00203
1T9R,phosphodiesterase,PC00185
6O2Y,dehydrogenase,PC00092
4FFW,serine protease,PC00203
2F6Z,protein phosphatase,PC00195
2QX4,oxidoreductase,PC00176
4FE3,esterase,PC00097
4QXV,hydrolase,PC00121
1HOR,isomerase,PC00135
1OAU,immunoglobulin,PC00123
3BPT,hydrolase,PC00121
1G53,dehydratase,PC00091
1YDB,dehydratase,PC00091
1O3M,serine protease,PC00203
2ZNT,transmembrane signal receptor,PC00197
1MZS,acetyltransferase,PC00038
6EQ9,non-receptor serine/threonine protein kinase,PC00167
1KAR,dehydrogenase,PC00092
6OP9,transmembrane signal receptor,PC00197
4MHY,transferase,PC00220
5NUJ,transfer/carrier protein,PC00219
5AUU,non-receptor serine/threonine protein kinase,PC00167
1OHL,dehydratase,PC00091
1MY8,hydrolase,PC00121
1O3N,serine protease,PC00203
2QOC,transmembrane signal receptor,PC00197
1G6T,transferase,PC00220
1F5K,serine protease,PC00203
2RD8,methyltransferase,PC00155
2ITY,transmembrane signal receptor,PC00197
3K54,non-receptor tyrosine protein kinase,PC00168
1BYG,non-receptor tyrosine protein kinase,PC00168
1PBP,ATP-binding cassette (ABC) transporter,PC00003
5Z9F,DNA topoisomerase,PC00017
5MWX,extracellular matrix protein,PC00102
3TI1,non-receptor serine/threonine protein kinase,PC00167
3Q1M,winged helix/forkhead transcription factor,PC00246
2BMG,serine protease,PC00203
5NUM,transfer/carrier protein,PC00219
1GP6,oxygenase,PC00177
1XMY,phosphodiesterase,PC00185
1N6I,small GTPase,PC00208
1FWT,aldolase,PC00044
4MXY,non-receptor tyrosine protein kinase,PC00168
1O2L,serine protease,PC00203
1C1N,serine protease,PC00203
6ZGC,serine/threonine protein kinase receptor,PC00205
3DBU,dehydratase,PC00091
1NGB,Hsp70 family chaperone,PC00027
1DMY,dehydratase,PC00091
1O2W,serine protease,PC00203
2FJM,protein phosphatase,PC00195
1D2A,protein phosphatase,PC00195
4R7I,transmembrane signal receptor,PC00197
6O5Z,non-receptor serine/threonine protein kinase,PC00167
117E,pyrophosphatase,PC00196
3CBM,histone modifying enzyme,PC00261
1ELY,phosphatase,PC00181
