PDB_ID,Panther_Protein_Class,Panther_Code
4LUE,non-receptor tyrosine protein kinase,PC00168
1NG4,dehydrogenase,PC00092
1A9P,nucleotide kinase,PC00172
1BIF,carbohydrate phosphatase,PC00066
1VCU,hydrolase,PC00121
1SM2,non-receptor tyrosine protein kinase,PC00168
4I1R,cysteine protease,PC00081
1SK9,phosphatase,PC00181
2ETR,non-receptor serine/threonine protein kinase,PC00167
1O2J,serine protease,PC00203
1AKA,transaminase,PC00216
3NVY,oxidoreductase,PC00176
5JW1,oxygenase,PC00177
1WGJ,pyrophosphatase,PC00196
1N6N,small GTPase,PC00208
3LXE,dehydratase,PC00091
4TWN,transmembrane signal receptor,PC00197
1LW3,phosphatase,PC00181
1XN0,phosphodiesterase,PC00185
5Z9Q,DNA topoisomerase,PC00017
6QXU,kinase inhibitor,PC00139
1PE1,aldolase,PC00044
6EKD,non-receptor serine/threonine protein kinase,PC00167
2C68,non-receptor serine/threonine protein kinase,PC00167
3W6H,dehydratase,PC00091
1O5B,serine protease,PC00203
1GJ9,serine protease,PC00203
3AKY,nucleotide kinase,PC00172
7N9G,non-receptor tyrosine protein kinase,PC00168
1Q08,winged helix/forkhead transcription factor,PC00246
1BNQ,dehydratase,PC00091
2AYP,non-receptor serine/threonine protein kinase,PC00167
3OIF,reductase,PC00198
3ZNC,dehydratase,PC00091
1YFK,mutase,PC00160
3SOA,non-receptor serine/threonine protein kinase,PC00167
1PII,isomerase,PC00135
1O34,serine protease,PC00203
3ML5,dehydratase,PC00091
2AEX,oxidase,PC00175
1U80,decarboxylase,PC00089
3R4G,chaperone,PC00072
1GHZ,serine protease,PC00203
6EOR,serine protease,PC00203
4JBQ,non-receptor serine/threonine protein kinase,PC00167
2FJN,protein phosphatase,PC00195
1O2M,serine protease,PC00203
1YZ3,methyltransferase,PC00155
1O3A,serine protease,PC00203
1BN1,dehydratase,PC00091
5JNC,dehydratase,PC00091
1D0S,nucleotidyltransferase,PC00174
5VC5,non-receptor serine/threonine protein kinase,PC00167
1S3X,Hsp70 family chaperone,PC00027
1IXH,ATP-binding cassette (ABC) transporter,PC00003
2CM8,protein phosphatase,PC00195
2FM5,phosphodiesterase,PC00185
2BY1,amylase,PC00048
2JNP,metalloprotease,PC00153
4ZBR,transfer/carrier protein,PC00219
4JSZ,dehydratase,PC00091
1L5Q,glycosyltransferase,PC00111
2BY5,serine protease,PC00203
1SON,ligase,PC00142
6Q39,hydrolase,PC00121
1C5P,serine protease,PC00203
1DP9,histidine kinase receptor of two-component system,PC00265
2OHL,protease,PC00190
1Q6T,protein phosphatase,PC00195
1HBY,endoribonuclease,PC00094
2ITU,transmembrane signal receptor,PC00197
1ED8,phosphatase,PC00181
1QUJ,ATP-binding cassette (ABC) transporter,PC00003
1O2O,serine protease,PC00203
3QYO,reductase,PC00198
4ZOG,non-receptor tyrosine protein kinase,PC00168
1JCY,aldolase,PC00044
5YJ0,ubiquitin-protein ligase,PC00234
1Q6J,protein phosphatase,PC00195
1KE3,hydrolase,PC00121
7VE0,aspartic protease,PC00053
1RR6,nucleotide kinase,PC00172
4HZE,hydrolase,PC00121
1NQV,transferase,PC00220
1RX6,reductase,PC00198
6GTT,non-receptor serine/threonine protein kinase,PC00167
3PJF,reductase,PC00198
1GI6,serine protease,PC00203
3G0E,transmembrane signal receptor,PC00197
7DPS,DNA topoisomerase,PC00017
1BZM,dehydratase,PC00091
3HMI,non-receptor tyrosine protein kinase,PC00168
3DA8,transferase,PC00220
1MQ4,non-receptor serine/threonine protein kinase,PC00167
2YWP,non-receptor serine/threonine protein kinase,PC00167
2ANY,serine protease,PC00203
1NQU,transferase,PC00220
1AQ1,non-receptor serine/threonine protein kinase,PC00167
1NFX,serine protease,PC00203
4AXD,kinase,PC00137
1U3V,dehydrogenase,PC00092
1S3E,oxidase,PC00175
6EMH,non-receptor serine/threonine protein kinase,PC00167
2POV,dehydratase,PC00091
1JU6,methyltransferase,PC00155
5DV4,mRNA polyadenylation factor,PC00146
1HNJ,acetyltransferase,PC00038
6JOK,transmembrane signal receptor,PC00197
