PDB_ID,Panther_Protein_Class,Panther_Code
1AKY,nucleotide kinase,PC00172
1GII,non-receptor serine/threonine protein kinase,PC00167
3HOF,decarboxylase,PC00089
3DAZ,dehydratase,PC00091
3DC3,dehydratase,PC00091
2CNE,protein phosphatase,PC00195
1O5F,serine protease,PC00203
2F0Z,hydrolase,PC00121
3OHO,metalloprotease,PC00153
1IXG,ATP-binding cassette (ABC) transporter,PC00003
1TSD,methyltransferase,PC00155
1WKQ,deaminase,PC00088
2NPC,transporter,PC00227
1GI9,serine protease,PC00203
5J48,non-receptor serine/threonine protein kinase,PC00167
1PVW,hydrolase,PC00121
1RJD,methyltransferase,PC00155
1VJD,carbohydrate kinase,PC00065
1B12,serine protease,PC00203
5PAR,serine protease,PC00203
1NFW,serine protease,PC00203
4F9V,transferase,PC00220
2HHA,serine protease,PC00203
2QQ7,non-receptor tyrosine protein kinase,PC00168
6CVO,damaged DNA-binding protein,PC00086
5ESU,transferase,PC00220
4LQM,transmembrane signal receptor,PC00197
1Q3F,DNA glycosylase,PC00010
6IBY,carbohydrate phosphatase,PC00066
1O2Q,serine protease,PC00203
1KH4,phosphatase,PC00181
1RHM,protease,PC00190
1G46,dehydratase,PC00091
2FS8,serine protease,PC00203
1G52,dehydratase,PC00091
5A4V,transferase,PC00220
3DD1,glycosyltransferase,PC00111
1N6L,small GTPase,PC00208
6XIC,serine protease,PC00203
1US0,reductase,PC00198
1BNW,dehydratase,PC00091
1ALJ,phosphatase,PC00181
1DXE,aldolase,PC00044
1U32,protein phosphatase,PC00195
1AOP,reductase,PC00198
1DNC,reductase,PC00198
1S61,peroxidase,PC00180
1XWS,non-receptor serine/threonine protein kinase,PC00167
2WEJ,dehydratase,PC00091
5BVW,transmembrane signal receptor,PC00197
3MMR,hydrolase,PC00121
5MNH,serine protease,PC00203
5USZ,non-receptor tyrosine protein kinase,PC00168
4KX5,esterase,PC00097
4F1T,non-receptor serine/threonine protein kinase,PC00167
5II2,"chromatin/chromatin-binding, or -regulatory protein",PC00077
5YJ1,ubiquitin-protein ligase,PC00234
5VC0,oxygenase,PC00177
7DPR,DNA topoisomerase,PC00017
4F92,scaffold/adaptor protein,PC00226
2ESM,non-receptor serine/threonine protein kinase,PC00167
1W83,non-receptor serine/threonine protein kinase,PC00167
7Q2F,methyltransferase,PC00155
1AS2,heterotrimeric G-protein,PC00117
1O9T,nucleotidyltransferase,PC00174
1SNU,non-receptor tyrosine protein kinase,PC00168
1RO6,phosphodiesterase,PC00185
1E48,aldolase,PC00044
1J97,phosphatase,PC00181
3K96,dehydrogenase,PC00092
4M2W,dehydratase,PC00091
4DES,hydrolase,PC00121
1LQD,serine protease,PC00203
1S2Y,oxidase,PC00175
1YWV,non-receptor serine/threonine protein kinase,PC00167
7PJN,dehydrogenase,PC00092
1E8W,kinase,PC00137
1O2H,serine protease,PC00203
3LFA,non-receptor serine/threonine protein kinase,PC00167
1WBW,non-receptor serine/threonine protein kinase,PC00167
1WYG,oxidoreductase,PC00176
5XG4,serine protease,PC00203
1BNM,dehydratase,PC00091
1CBQ,transfer/carrier protein,PC00219
3V8Q,nucleotide kinase,PC00172
1NL9,protein phosphatase,PC00195
1UCN,kinase,PC00137
4XTA,C4 zinc finger nuclear receptor,PC00169
1WBN,non-receptor serine/threonine protein kinase,PC00167
5FG5,zinc finger transcription factor,PC00244
1KWQ,dehydratase,PC00091
1E04,protease inhibitor,PC00191
1GRB,reductase,PC00198
2HWP,non-receptor tyrosine protein kinase,PC00168
3LM5,non-receptor serine/threonine protein kinase,PC00167
5I9Y,transmembrane signal receptor,PC00197
2CLQ,non-receptor serine/threonine protein kinase,PC00167
5ZJ6,non-receptor tyrosine protein kinase,PC00168
2HRC,lyase,PC00144
3IK6,transmembrane signal receptor,PC00197
1Q9M,phosphodiesterase,PC00185
1KVL,hydrolase,PC00121
1ZVX,metalloprotease,PC00153
7DQH,DNA topoisomerase,PC00017
1F0R,serine protease,PC00203
1OQ5,dehydratase,PC00091
4BZF,epimerase/racemase,PC00096
2F6T,protein phosphatase,PC00195
