PDB_ID,Panther_Protein_Class,Panther_Code
3CAV,reductase,PC00198
7E3H,esterase,PC00097
2C76,oxidase,PC00175
2NOP,transporter,PC00227
5VCE,oxygenase,PC00177
2RHC,dehydrogenase,PC00092
3DCS,dehydratase,PC00091
4AAA,non-receptor serine/threonine protein kinase,PC00167
1Q3D,non-receptor serine/threonine protein kinase,PC00167
1EQM,kinase,PC00137
1O3H,serine protease,PC00203
3QLG,non-receptor tyrosine protein kinase,PC00168
1PNT,protein phosphatase,PC00195
1LC0,dehydrogenase,PC00092
2IU8,acyltransferase,PC00042
3DCC,dehydratase,PC00091
1O3J,serine protease,PC00203
2V03,lyase,PC00144
1XMM,hydrolase,PC00121
1MC5,dehydrogenase,PC00092
1ZE8,dehydratase,PC00091
3NH9,ATP-binding cassette (ABC) transporter,PC00003
1RCA,endoribonuclease,PC00094
3M35,serine protease,PC00203
1BDU,methyltransferase,PC00155
1N6H,small GTPase,PC00208
1X7A,serine protease,PC00203
2XFP,oxidase,PC00175
1GJD,serine protease,PC00203
4M2V,dehydratase,PC00091
4K0Z,dehydratase,PC00091
1KV2,non-receptor serine/threonine protein kinase,PC00167
1ELZ,phosphatase,PC00181
4BTK,non-receptor serine/threonine protein kinase,PC00167
1RWQ,serine protease,PC00203
2JSD,metalloprotease,PC00153
8A9V,nucleotide kinase,PC00172
1HNN,methyltransferase,PC00155
1BFF,growth factor,PC00112
1WAR,phosphatase,PC00181
1Q6P,protein phosphatase,PC00195
5JD7,non-receptor serine/threonine protein kinase,PC00167
5I9X,transmembrane signal receptor,PC00197
2B07,protein phosphatase,PC00195
2C6K,non-receptor serine/threonine protein kinase,PC00167
1O3P,serine protease,PC00203
1Y91,non-receptor serine/threonine protein kinase,PC00167
3OJF,reductase,PC00198
7B61,ligase,PC00142
4K13,dehydratase,PC00091
2JAM,non-receptor serine/threonine protein kinase,PC00167
3UE4,non-receptor tyrosine protein kinase,PC00168
1YDD,dehydratase,PC00091
2VEQ,DNA-binding transcription factor,PC00218
6AU2,histone modifying enzyme,PC00261
2ITZ,transmembrane signal receptor,PC00197
4FUA,aldolase,PC00044
1OPK,non-receptor tyrosine protein kinase,PC00168
2HNC,dehydratase,PC00091
3G0D,serine protease,PC00203
3OCT,non-receptor tyrosine protein kinase,PC00168
1LRO,aldolase,PC00044
1O3F,serine protease,PC00203
1WCF,pyrophosphatase,PC00196
1W8B,serine protease,PC00203
5NUK,transfer/carrier protein,PC00219
5DR6,non-receptor serine/threonine protein kinase,PC00167
2F71,protein phosphatase,PC00195
1F3F,kinase,PC00137
1NOS,oxidoreductase,PC00176
1CY4,DNA metabolism protein,PC00009
4AGD,transmembrane signal receptor,PC00197
4NX7,reductase,PC00198
1GI2,serine protease,PC00203
5YX6,transferase,PC00220
1W84,non-receptor serine/threonine protein kinase,PC00167
3KPW,methyltransferase,PC00155
4DEW,hydrolase,PC00121
1ALK,phosphatase,PC00181
1RHR,protease,PC00190
2F25,hydrolase,PC00121
1WB0,glycosidase,PC00110
1YXV,non-receptor serine/threonine protein kinase,PC00167
1NQX,transferase,PC00220
5HM7,immunoglobulin receptor superfamily,PC00124
1GA9,hydrolase,PC00121
5Z9L,DNA topoisomerase,PC00017
1I8Z,dehydratase,PC00091
830C,metalloprotease,PC00153
1C5X,serine protease,PC00203
4IUP,homeodomain transcription factor,PC00119
4Q1P,extracellular matrix protein,PC00102
1I9P,dehydratase,PC00091
5DR9,non-receptor serine/threonine protein kinase,PC00167
1NGC,Hsp70 family chaperone,PC00027
1OYN,phosphodiesterase,PC00185
3G0F,transmembrane signal receptor,PC00197
2F6W,protein phosphatase,PC00195
5OWR,non-receptor serine/threonine protein kinase,PC00167
1O3K,serine protease,PC00203
1PI5,hydrolase,PC00121
1WOJ,phosphodiesterase,PC00185
6YT1,nucleotide kinase,PC00172
1HO4,transferase,PC00220
1P1J,isomerase,PC00135
2F4J,non-receptor tyrosine protein kinase,PC00168
5T8U,protein modifying enzyme,PC00260
3HXU,aminoacyl-tRNA synthetase,PC00047
