PDB_ID,Panther_Protein_Class,Panther_Code
2HW7,non-receptor serine/threonine protein kinase,PC00167
1T96,aldolase,PC00044
3H73,hydrolase,PC00121
1LKC,transaminase,PC00216
1IEL,hydrolase,PC00121
1RDQ,non-receptor serine/threonine protein kinase,PC00167
3L14,dehydratase,PC00091
1K9Y,phosphatase,PC00181
1NSJ,isomerase,PC00135
2QNZ,acetyltransferase,PC00038
2CMA,protein phosphatase,PC00195
2CM7,protein phosphatase,PC00195
5SGO,phosphodiesterase,PC00185
2Y7J,non-receptor serine/threonine protein kinase,PC00167
1G0I,phosphatase,PC00181
3EDZ,protease,PC00190
1E8Z,kinase,PC00137
1QG6,reductase,PC00198
7DQI,DNA topoisomerase,PC00017
3LJ0,tyrosine protein kinase receptor,PC00233
2BK3,oxidase,PC00175
6NPU,non-receptor tyrosine protein kinase,PC00168
7S3G,decarboxylase,PC00089
6HD6,non-receptor tyrosine protein kinase,PC00168
1NNY,protein phosphatase,PC00195
8DKS,non-receptor serine/threonine protein kinase,PC00167
1UU7,non-receptor serine/threonine protein kinase,PC00167
5DPV,non-receptor serine/threonine protein kinase,PC00167
1GRE,reductase,PC00198
1TFQ,protease inhibitor,PC00191
1GJ6,serine protease,PC00203
1G1D,dehydratase,PC00091
1W7X,serine protease,PC00203
2H9V,non-receptor serine/threonine protein kinase,PC00167
4G0C,dehydratase,PC00091
1KE0,hydrolase,PC00121
2GBI,serine protease,PC00203
1E6A,pyrophosphatase,PC00196
6NPE,non-receptor tyrosine protein kinase,PC00168
1FY6,aldolase,PC00044
1YDA,dehydratase,PC00091
3HEC,non-receptor serine/threonine protein kinase,PC00167
1O38,serine protease,PC00203
3KQS,methyltransferase,PC00155
2IUW,oxygenase,PC00177
1XOS,phosphodiesterase,PC00185
1CIL,dehydratase,PC00091
3V80,nucleotide kinase,PC00172
1O35,serine protease,PC00203
1F0U,serine protease,PC00203
3BJM,serine protease,PC00203
7MOK,protein phosphatase,PC00195
1IDR,peroxidase,PC00180
1U1F,nucleotide kinase,PC00172
1O31,serine protease,PC00203
4TZC,ubiquitin-protein ligase,PC00234
6XCZ,aspartic protease,PC00053
1F0S,serine protease,PC00203
2ITQ,transmembrane signal receptor,PC00197
1ZGE,dehydratase,PC00091
1QCP,serine protease,PC00203
2BOH,serine protease,PC00203
1AOB,methyltransferase,PC00155
3AYK,metalloprotease,PC00153
4HV4,ligase,PC00142
4X5V,DNA-directed DNA polymerase,PC00018
4BDS,esterase,PC00097
1FGI,transmembrane signal receptor,PC00197
3D9V,non-receptor serine/threonine protein kinase,PC00167
5ESO,transferase,PC00220
5OJI,dehydrogenase,PC00092
1AZM,dehydratase,PC00091
3OID,oxidoreductase,PC00176
1G7N,transfer/carrier protein,PC00219
3LK8,metalloprotease,PC00153
3PBB,transferase,PC00220
3PY1,non-receptor serine/threonine protein kinase,PC00167
1A9U,non-receptor serine/threonine protein kinase,PC00167
5FG4,zinc finger transcription factor,PC00244
1C7Z,carbohydrate phosphatase,PC00066
1IEP,non-receptor tyrosine protein kinase,PC00168
6BSD,transmembrane signal receptor,PC00197
3V8N,nucleotide kinase,PC00172
1LQE,serine protease,PC00203
7DQJ,DNA topoisomerase,PC00017
2A4L,non-receptor serine/threonine protein kinase,PC00167
6VXH,ATP-binding cassette (ABC) transporter,PC00003
2J5F,transmembrane signal receptor,PC00197
3FW1,oxidoreductase,PC00176
4NX6,reductase,PC00198
1LPZ,serine protease,PC00203
4KV0,dehydratase,PC00091
5NYA,dehydratase,PC00091
3DDW,glycosyltransferase,PC00111
1MXB,nucleotidyltransferase,PC00174
4OJ4,C4 zinc finger nuclear receptor,PC00169
1XBC,non-receptor tyrosine protein kinase,PC00168
3SZQ,damaged DNA-binding protein,PC00086
7D1D,transferase,PC00220
1O3G,serine protease,PC00203
3THS,methyltransferase,PC00155
1VJ5,hydrolase,PC00121
4F9O,kinase,PC00137
1HSZ,dehydrogenase,PC00092
1RX9,reductase,PC00198
1ALI,phosphatase,PC00181
3RFM,G-protein coupled receptor,PC00021
2C74,scaffold/adaptor protein,PC00226
