PDB_ID,Panther_Protein_Class,Panther_Code
5QEK,protein phosphatase,PC00195
1O3O,serine protease,PC00203
4LU3,dehydratase,PC00091
3CSD,dehydrogenase,PC00092
1O3I,serine protease,PC00203
2SIM,hydrolase,PC00121
5FZN,scaffold/adaptor protein,PC00226
3OCS,non-receptor tyrosine protein kinase,PC00168
6EQ5,phosphatase,PC00181
1N6K,small GTPase,PC00208
2J2U,serine protease,PC00203
2RH4,dehydrogenase,PC00092
1N7I,methyltransferase,PC00155
1RX4,reductase,PC00198
4IXV,hydrolase,PC00121
4QOG,oxidoreductase,PC00176
1BPD,DNA-directed DNA polymerase,PC00018
2VQ3,reductase,PC00198
2F2U,non-receptor serine/threonine protein kinase,PC00167
2C72,oxidase,PC00175
1PCK,aldolase,PC00044
6CVQ,damaged DNA-binding protein,PC00086
3NHA,ATP-binding cassette (ABC) transporter,PC00003
3KPU,methyltransferase,PC00155
1O2T,serine protease,PC00203
2NNG,dehydratase,PC00091
3D8W,dehydratase,PC00091
1UU0,transaminase,PC00216
2HB1,protein phosphatase,PC00195
1VLV,transferase,PC00220
1WEG,DNA glycosylase,PC00010
3ITC,protease,PC00190
2VD5,non-receptor serine/threonine protein kinase,PC00167
3CZV,dehydratase,PC00091
1GIH,non-receptor serine/threonine protein kinase,PC00167
3ITJ,reductase,PC00198
1UV5,non-receptor serine/threonine protein kinase,PC00167
1XQ0,dehydratase,PC00091
1FBT,carbohydrate phosphatase,PC00066
4MXX,non-receptor tyrosine protein kinase,PC00168
2BQ6,serine protease,PC00203
5Z9B,DNA topoisomerase,PC00017
4BKJ,transmembrane signal receptor,PC00197
1L5W,glycosyltransferase,PC00111
3ROX,epimerase/racemase,PC00096
3NSQ,C4 zinc finger nuclear receptor,PC00169
1G7G,protein phosphatase,PC00195
1MXA,nucleotidyltransferase,PC00174
3KQT,methyltransferase,PC00155
3MS9,non-receptor tyrosine protein kinase,PC00168
1OUM,nucleotide kinase,PC00172
1HO5,phosphodiesterase,PC00185
1E20,decarboxylase,PC00089
4AYK,metalloprotease,PC00153
3SK3,kinase,PC00137
6Q37,hydrolase,PC00121
2O64,non-receptor serine/threonine protein kinase,PC00167
1KWR,dehydratase,PC00091
2ITO,transmembrane signal receptor,PC00197
1GJB,serine protease,PC00203
7V62,transfer/carrier protein,PC00219
1O3L,serine protease,PC00203
1FXU,nucleotide kinase,PC00172
3MDZ,dehydratase,PC00091
1JDW,transferase,PC00220
1O30,serine protease,PC00203
3NC6,oxygenase,PC00177
1BN4,dehydratase,PC00091
4A3R,lyase,PC00144
6BBS,dehydratase,PC00091
1TFT,protease inhibitor,PC00191
1S5Z,kinase,PC00137
7O9Y,non-receptor serine/threonine protein kinase,PC00167
1LRQ,aldolase,PC00044
4JZD,serine protease,PC00203
1BSK,hydrolase,PC00121
3SXR,non-receptor tyrosine protein kinase,PC00168
1O3B,serine protease,PC00203
2VWU,transmembrane signal receptor,PC00197
4FBE,transferase,PC00220
2BQW,serine protease,PC00203
2FM0,phosphodiesterase,PC00185
1O2I,serine protease,PC00203
4IE2,hydrolase,PC00121
3G5D,non-receptor tyrosine protein kinase,PC00168
5AJQ,non-receptor serine/threonine protein kinase,PC00167
2WU6,non-receptor serine/threonine protein kinase,PC00167
7DQW,DNA topoisomerase,PC00017
1S3L,phosphatase,PC00181
1I09,non-receptor serine/threonine protein kinase,PC00167
1I1D,acetyltransferase,PC00038
3OHL,metalloprotease,PC00153
6UMB,ubiquitin-protein ligase,PC00234
1ELX,phosphatase,PC00181
3OIG,reductase,PC00198
6EQP,esterase,PC00097
1S56,peroxidase,PC00180
5AUW,non-receptor serine/threonine protein kinase,PC00167
5FG6,zinc finger transcription factor,PC00244
2F70,protein phosphatase,PC00195
1A9O,nucleotide kinase,PC00172
2J38,serine protease,PC00203
4HJO,transmembrane signal receptor,PC00197
1PXO,non-receptor serine/threonine protein kinase,PC00167
1WVY,non-receptor serine/threonine protein kinase,PC00167
3E8R,protease,PC00190
1GIT,heterotrimeric G-protein,PC00117
1O2V,serine protease,PC00203
2R2I,calmodulin-related,PC00061
