PDB_ID,Panther_Protein_Class,Panther_Code
7DQF,DNA topoisomerase,PC00017
4WO0,hydrolase,PC00121
2HE5,reductase,PC00198
5MUG,transfer/carrier protein,PC00219
1KE4,hydrolase,PC00121
5EW3,transmembrane signal receptor,PC00197
1CY6,DNA metabolism protein,PC00009
1HX3,isomerase,PC00135
6KYQ,non-receptor serine/threonine protein kinase,PC00167
1GJC,serine protease,PC00203
2H15,dehydratase,PC00091
6M8A,kinase,PC00137
5NEK,transferase,PC00220
5VC3,non-receptor serine/threonine protein kinase,PC00167
1RPQ,immunoglobulin receptor superfamily,PC00124
2C6M,non-receptor serine/threonine protein kinase,PC00167
4G9L,metalloprotease,PC00153
1OJL,DNA-binding transcription factor,PC00218
4M2R,dehydratase,PC00091
1BA0,Hsp70 family chaperone,PC00027
1MZR,reductase,PC00198
1A40,ATP-binding cassette (ABC) transporter,PC00003
1FXP,aldolase,PC00044
6PAH,oxidoreductase,PC00176
1TTM,dehydratase,PC00091
1O5A,serine protease,PC00203
6NPV,non-receptor tyrosine protein kinase,PC00168
2HZI,non-receptor tyrosine protein kinase,PC00168
5IA3,transmembrane signal receptor,PC00197
1KYX,transferase,PC00220
3D9Z,dehydratase,PC00091
1JNW,oxidase,PC00175
2AFZ,transferase,PC00220
2NPJ,transporter,PC00227
1QF5,ligase,PC00142
1FWW,aldolase,PC00044
1Q6M,protein phosphatase,PC00195
2C6I,non-receptor serine/threonine protein kinase,PC00167
1JP4,phosphatase,PC00181
5AUV,non-receptor serine/threonine protein kinase,PC00167
2I6O,protein phosphatase,PC00195
7V18,serine protease,PC00203
1Q3W,non-receptor serine/threonine protein kinase,PC00167
1ANJ,phosphatase,PC00181
1TBB,phosphodiesterase,PC00185
1GJA,serine protease,PC00203
2BYA,serine protease,PC00203
1C5Z,serine protease,PC00203
1UDT,phosphodiesterase,PC00185
1WAW,glycosidase,PC00110
2W4O,non-receptor serine/threonine protein kinase,PC00167
1C5Q,serine protease,PC00203
1NXK,non-receptor serine/threonine protein kinase,PC00167
1I9Q,dehydratase,PC00091
6PAB,hydrolase,PC00121
1NFY,serine protease,PC00203
2BZ6,serine protease,PC00203
1FGA,growth factor,PC00112
4XEY,non-receptor tyrosine protein kinase,PC00168
1OJA,oxidase,PC00175
3V8M,nucleotide kinase,PC00172
1OKY,non-receptor serine/threonine protein kinase,PC00167
1QIP,lyase,PC00144
1M7R,phosphatase,PC00181
1O3D,serine protease,PC00203
4MXZ,non-receptor tyrosine protein kinase,PC00168
1Z3J,metalloprotease,PC00153
1W6O,extracellular matrix protein,PC00102
3DCW,dehydratase,PC00091
2RHR,dehydrogenase,PC00092
5AUX,non-receptor serine/threonine protein kinase,PC00167
4ZM9,protease,PC00190
5JAD,protein modifying enzyme,PC00260
1N6R,small GTPase,PC00208
6O50,esterase,PC00097
6ZLN,non-receptor serine/threonine protein kinase,PC00167
2O63,non-receptor serine/threonine protein kinase,PC00167
1O39,serine protease,PC00203
1M38,pyrophosphatase,PC00196
3LOK,non-receptor tyrosine protein kinase,PC00168
2BQ7,serine protease,PC00203
1G7F,protein phosphatase,PC00195
1R3V,methyltransferase,PC00155
2ITW,transmembrane signal receptor,PC00197
3EQM,oxygenase,PC00177
1Q6N,protein phosphatase,PC00195
2EZ7,dehydratase,PC00091
1U1C,nucleotide kinase,PC00172
2POU,dehydratase,PC00091
1URB,phosphatase,PC00181
5M5A,non-receptor serine/threonine protein kinase,PC00167
1O2K,serine protease,PC00203
4FOE,kinase,PC00137
7DQM,DNA topoisomerase,PC00017
4E47,histone modifying enzyme,PC00261
1KAE,dehydrogenase,PC00092
1U99,DNA strand-pairing protein,PC00016
1H53,endoribonuclease,PC00094
7T4J,transmembrane signal receptor,PC00197
1JD0,dehydratase,PC00091
4X5J,reductase,PC00198
1C5R,serine protease,PC00203
1X06,acyltransferase,PC00042
4DET,hydrolase,PC00121
1BN3,dehydratase,PC00091
3HXY,aminoacyl-tRNA synthetase,PC00047
1P45,reductase,PC00198
1TSN,methyltransferase,PC00155
